type,facdor__period,facdor__status,facdor__openPrice,facdor__openNumber,facdor__isGreen,facdor__isRed,facdor__isViolet
3,20200516357,0,180762,2,0,1,0
3,20200516356,0,180779,9,1,0,0
3,20200516355,0,180808,8,0,1,0
3,20200516354,0,180812,2,0,1,0
3,20200516353,0,180823,3,1,0,0
3,20200516352,0,180820,0,0,1,1
3,20200516351,0,180820,0,0,1,1
3,20200516350,0,180830,0,0,1,1
3,20200516349,0,180847,7,1,0,0
3,20200516348,0,180853,3,1,0,0
3,20200516347,0,180872,2,0,1,0
3,20200516346,0,180894,4,0,1,0
3,20200516345,0,180907,7,1,0,0
3,20200516344,0,180913,3,1,0,0
3,20200516343,0,180919,9,1,0,0
3,20200516342,0,180911,1,1,0,0
3,20200516341,0,180910,0,0,1,1
3,20200516340,0,180916,6,0,1,0
3,20200516339,0,180921,1,1,0,0
3,20200516338,0,180936,6,0,1,0
3,20200516337,0,180958,8,0,1,0
3,20200516336,0,180961,1,1,0,0
3,20200516335,0,180968,8,0,1,0
3,20200516334,0,180977,7,1,0,0
3,20200516333,0,180981,1,1,0,0
3,20200516332,0,181002,2,0,1,0
3,20200516331,0,181005,5,1,0,1
3,20200516330,0,181013,3,1,0,0
3,20200516329,0,181017,7,1,0,0
3,20200516328,0,181035,5,1,0,1
3,20200516327,0,181046,6,0,1,0
3,20200516326,0,181071,1,1,0,0
3,20200516325,0,181078,8,0,1,0
3,20200516324,0,181075,5,1,0,1
3,20200516323,0,181098,8,0,1,0
3,20200516322,0,181106,6,0,1,0
3,20200516321,0,181123,3,1,0,0
3,20200516320,0,181159,9,1,0,0
3,20200516319,0,181170,0,0,1,1
3,20200516318,0,181191,1,1,0,0
3,20200516317,0,181190,0,0,1,1
3,20200516316,0,181207,7,1,0,0
3,20200516315,0,181232,2,0,1,0
3,20200516314,0,181255,5,1,0,1
3,20200516313,0,181260,0,0,1,1
3,20200516312,0,181272,2,0,1,0
3,20200516311,0,181284,4,0,1,0
3,20200516310,0,181283,3,1,0,0
3,20200516309,0,181281,1,1,0,0
3,20200516308,0,181298,8,0,1,0
3,20200516307,0,181308,8,0,1,0
3,20200516306,0,181316,6,0,1,0
3,20200516305,0,181315,5,1,0,1
3,20200516304,0,181315,5,1,0,1
3,20200516303,0,181327,7,1,0,0
3,20200516302,0,181329,9,1,0,0
3,20200516301,0,181332,2,0,1,0
3,20200516300,0,181357,7,1,0,0
3,20200516299,0,181380,0,0,1,1
3,20200516298,0,181397,7,1,0,0
3,20200516297,0,181411,1,1,0,0
3,20200516296,0,181431,1,1,0,0
3,20200516295,0,181438,8,0,1,0
3,20200516294,0,181448,8,0,1,0
3,20200516293,0,181454,4,0,1,0
3,20200516292,0,181453,3,1,0,0
3,20200516291,0,181476,6,0,1,0
3,20200516290,0,181478,8,0,1,0
3,20200516289,0,181489,9,1,0,0
3,20200516288,0,181502,2,0,1,0
3,20200516287,0,181504,4,0,1,0
3,20200516286,0,181501,1,1,0,0
3,20200516285,0,181525,5,1,0,1
3,20200516284,0,181534,4,0,1,0
3,20200516283,0,181544,4,0,1,0
3,20200516282,0,181553,3,1,0,0
3,20200516281,0,181563,3,1,0,0
3,20200516280,0,181567,7,1,0,0
3,20200516279,0,181577,7,1,0,0
3,20200516278,0,181594,4,0,1,0
3,20200516277,0,181621,1,1,0,0
3,20200516276,0,181625,5,1,0,1
3,20200516275,0,181645,5,1,0,1
3,20200516274,0,181654,4,0,1,0
3,20200516273,0,181659,9,1,0,0
3,20200516272,0,181671,1,1,0,0
3,20200516271,0,181685,5,1,0,1
3,20200516270,0,181680,0,0,1,1
3,20200516269,0,181707,7,1,0,0
3,20200516268,0,181719,9,1,0,0
3,20200516267,0,181711,1,1,0,0
3,20200516266,0,181715,5,1,0,1
3,20200516265,0,181728,8,0,1,0
3,20200516264,0,181740,0,0,1,1
3,20200516263,0,181753,3,1,0,0
